Day,News,IND1,IND2,IND3
0,,1500,1500,1500
1,,0,40,-50
2,Unemployment number spikes up to 16% in the from 6% last month. Major layoffs sparks debates across the US.,-100,20,-20
3,,-150,20,20
4,,-200,40,30
5,,-150,-10,40
6,,-60,-30,-20
7,"Non-farm payrolls at record high in the US, bringing the US deficit to 25 Trillion dollars at 280% US GDP.",-50,-20,30
8,,-10,30,-40
9,,-10,40,-50
10,,5,20,-70
11,"To fight the recession, the Federal Reserve once again decides to lower rates to 25bps and start a new easing program at $100B per month. ",20,-60,50
12,,50,-60,70
13,,30,-50,80
14,"Making money from the recession, Trading Profit up 400% y/y. MQB adjusted EPS up sequentially by 13% and up 23% y/y .",50,-80,400
15,,60,-70,100
16,,50,-60,30
17,"Following the Fed's footsteps, The ECB as well as Emerging Markets Central Banks once again adopt easy policy. World easing currently at 800B per Month. ",60,-50,50
18,,60,-60,20
19,,70,20,30
20,,-20,30,40
21,,5,20,50
22,"Consumer confidence across the world at record low according to Nielson, currently sitting at 12%.",-10,-50,20
23,,-50,-10,-20
24,,-10,-20,-40
25,,-10,50,-30
26,Breaking News: Severe currency devaluation across the globe forces the US to go back to the Gold Standard. ,-15,100,-50
27,,-35,150,-100
28,,10,200,-20
29,,25,70,-30
30,,-15,50,-40
31,EU Banks suffered heavy writedowns after Greece Prime Minister Marie Papadakis decides she's so done and can't even anymore,-10,15,20
32,,25,20,30
33,,-20,20,50
34,German Priminister Shirin Ahrberg annouces that the EU need to stack all gold together with the ECB,10,40,-40
35,,-10,40,-40
36,,20,20,30
37,,-15,25,40
38,MBQ goes in joint venture with BNP Paribas' Alejandro Vivanco to strength emerging markets deal flow,20,-20,100
39,,-20,-30,20
40,,-25,-10,40
41,,-35,50,50
42,"As demand for gold skyrockets across the globe, miners increases production to match demand. ",-35,100,30
43,,-40,60,20
44,,-20,35,40
45,,10,50,30
46,,50,65,40
47,ECB President Santavicca refuses to go back to the gold standard despite pressure from EU countries.,-10,-50,70
48,,-15,-20,50
49,,30,-30,60
50,,30,-20,-20
51,Breaking News: 68 people died in a mining accident in Argentina due to overmining.  Miners across the globe goes on strike on safety issues and overwork,15,-60,-30
52,,20,-50,-40
53,,25,-20,-50
54,,50,30,-30
55,US Core CPI numbers release: -1.2% y/y from 0.4%. Expected -0.5%.,40,25,-50
56,,50,20,-30
57,,20,30,-25
58,,-20,25,-30
59,Miners form global union network to fight against fair working conditions and regular working hours,-10,-70,20
60,,50,-20,30
61,,-20,-20,40
62,,-10,-100,20
63,,50,-100,40
64,,60,10,-20
65,,20,-20,30
66,,50,-50,40
67,"In a recent SEC filing, billionaire investor group Kovalchuk Capital discloses $5B stake in several Gold Miner companies",60,40,30
68,,-20,80,20
69,"In a turn of events, Billionaire group Taschereau Capital disclosed $10B short positions on Gold miners. Both CEOs are scheduled to appear on CNBC in two weeks to debate their positions.",-10,-100,-20
70,,-15,-60,-20
71,"During the CNBC inteview, both investors starts calling names. Nothing of value was discussed. As a result, volatility of the sector increased.",30,50,-30
72,,20,70,-35
73,,50,-150,-55
74,,0,-300,-30
75,CHINA TRADE BALANCE at record low.,-20,-100,-40
76,,-50,-50,-25
77,,-15,40,35
78,,-50,100,40
79,"In an effort to unify eastern trade, President Ki Qing Ping of China and Prime Minister Rhinzo Sabe of Japan signs historical deal between China and Japan",50,50,50
80,,150,-40,50
81,,200,-50,30
82,,150,-30,-20
83,Canadian Entrepreneur Kiran Bains and Danny Kang lauch first 3D gold printing company going public with MQB,150,50,-10
84,,100,60,-20
85,,50,50,30
86,"United Miners Coalition succesfully formed, world miners offically on strike.",0,-40,40
87,,-15,-100,40
88,,-15,-20,50
89,,20,-50,60
90,Japanese PMI shows slight signs of recorvery.,50,70,60
91,,35,60,20
92,,35,50,30
93,,20,20,40
94,,-30,20,-20
95,"Apple releases the iPhone 8 GOLD, saying it's the best iPhone yet. Despite the recession, Apple sold a record number of 12M iphones on the first week.",20,40,-10
96,,35,30,20
97,,20,50,40
98,,10,20,50
99,,-20,20,30
100,Elon Musk's SpaceX rocket Falcon XX completed the first back and forth trip to Mars.,-10,-20,40
101,,-30,-40,50
102,,-55,-20,20
103,,-20,-15,-30
104,Category 8 Hurricane Barry Allen hits the east Asia in a severe flash.,-100,100,-40
105,,-20,120,-50
