Day,News,IND1,IND2,IND3
0,,1500,1500,1500
1,"Chew iPad power cord tuxedo cats always looking dapper yet jump off balcony,",0,40,-50
2,,-100,20,-20
3,,-150,20,20
4,,-200,40,30
5,"onto stranger's head peer out window, chatter at birds, lure them to mouth.",-150,-10,40
6,,-60,-30,-20
7,,-50,-20,30
8,,-10,30,-40
9,"All of a sudden cat goes crazy present belly, scratch hand when st",-10,40,-50
10,,5,20,-70
11,,20,-60,50
12,,50,-60,70
13, litter all over house. Drink water out of the faucet wake up human for f,30,-50,80
14,,50,-80,400
15,,60,-70,100
16,,50,-60,30
17," the couch, and hack up furballs. I am the best chirp at birds. The ",60,-50,50
18,,60,-60,20
19,,70,20,30
20,,-20,30,40
21,,5,20,50
22,g phantoms paw at your fat belly. Destroy the blinds kick up litter so have sec,-10,-50,20
23,,-50,-10,-20
24,,-10,-20,-40
25,,-10,50,-30
26,,-15,100,-50
27,,-35,150,-100
28,,10,200,-20
29,,25,70,-30
30,g phantoms paw at your fat belly. Destroy the blinds kick up litter so have sec,-15,50,-40
31,,-10,15,20
32,,25,20,30
33,,-20,20,50
34,,10,40,-40
35,,-10,40,-40
36,"plant pot mark territory, or hide when guests come over, for find so",20,20,30
37,,-15,25,40
38,,20,-20,100
39,,-20,-30,20
40,,-25,-10,40
41,,-35,50,50
42," Lick arm hair intrigued by the shower, so intently stare at the same spot, for ",-35,100,30
43,,-40,60,20
44,,-20,35,40
45,,10,50,30
46,,50,65,40
47, Human is washing you why halp oh the horror flee scratch hiss bite curl into a ,-10,-50,70
48,,-15,-20,50
49,,30,-30,60
50,,30,-20,-20
51,ng sleeping humans so leave fur on owners clothes yet use lap as chair,15,-60,-30
52,,20,-50,-40
53,,25,-20,-50
54,g your whiskers off paw at your fat belly. Drink water out of the faucet make me,50,30,-30
55,,40,25,-50
56,,50,20,-30
57,,20,30,-25
58,"or packaging over toy. Destroy couch as revenge play time, for find em",-20,25,-30
59,,-10,-70,20
60,thy sleep nap for nap all day. Tuxedo cats always looking dapper jump o,50,-20,30
61,,-20,-20,40
62,,-10,-100,20
63,Chase red laser dot get video posted to internet for chasing red,50,-100,40
64,End of Practice Quarter,40,50,0
